func,budget,contrast,ref,eps,cycle,n_seeds,pr_ref,pr_arm,pr_d,pr_wtl,pr_p,pr_a12,cov_ref,cov_arm,cov_d,cov_wtl,cov_p,cov_a12,loss_ref,loss_arm,loss_d,loss_wtl,loss_p,loss_a12,cov_holm,loss_holm,silent,silent_holm,cancelling,movers,channel
N07-Vincent2D,200k,soltrim_rho / base,base,0.001,e60,15,0.3019,0.3019,0.0,0/15/0,1.0,0.5,0.6056,0.6056,0.0,0/15/0,1.0,0.5,0.3037,0.3037,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N07-Vincent2D,200k,soltrim_rho / base,base,1e-05,e60,15,0.3019,0.3019,0.0,0/15/0,1.0,0.5,0.4574,0.4574,0.0,0/15/0,1.0,0.5,0.1556,0.1556,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N07-Vincent2D,200k,commit_place / base,base,0.1,e62,15,0.3019,0.3648,0.063,13/1/1,0.0044,0.9,1.0,1.0,0.0,0/15/0,1.0,0.5,0.6981,0.6352,-0.063,1/1/13,0.0037,0.1,False,True,False,False,False,loss,report
N07-Vincent2D,200k,commit_place / base,base,0.001,e62,15,0.3019,0.3648,0.063,13/1/1,0.0044,0.9,0.6056,0.7037,0.0981,12/3/0,0.0012,0.9,0.3037,0.3389,0.0352,9/2/4,0.0646,0.67,True,False,False,False,False,cov,coverage
N07-Vincent2D,200k,commit_place / base,base,1e-05,e62,15,0.3019,0.3648,0.063,13/1/1,0.0044,0.9,0.4574,0.5519,0.0944,13/1/1,0.0012,0.9,0.1556,0.187,0.0315,8/3/4,0.1628,0.63,True,False,False,False,False,cov,coverage
N07-Vincent2D,200k,cp_soltrim / base,base,0.1,core,15,0.3019,0.3648,0.063,13/1/1,0.0044,0.9,1.0,1.0,0.0,0/15/0,1.0,0.5,0.6981,0.6352,-0.063,1/1/13,0.0037,0.1,False,True,False,False,False,loss,report
N07-Vincent2D,200k,cp_soltrim / base,base,0.001,core,15,0.3019,0.3648,0.063,13/1/1,0.0044,0.9,0.6056,0.7037,0.0981,12/3/0,0.0012,0.9,0.3037,0.3389,0.0352,9/2/4,0.0646,0.67,True,False,False,False,False,cov,coverage
N07-Vincent2D,200k,cp_soltrim / base,base,1e-05,core,15,0.3019,0.3648,0.063,13/1/1,0.0044,0.9,0.4574,0.5519,0.0944,13/1/1,0.0012,0.9,0.1556,0.187,0.0315,8/3/4,0.1628,0.63,True,False,False,False,False,cov,coverage
N07-Vincent2D,200k,cp_soltrim / commit_place,commit_place,0.1,core,15,0.3648,0.3648,0.0,0/15/0,1.0,0.5,1.0,1.0,0.0,0/15/0,1.0,0.5,0.6352,0.6352,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N07-Vincent2D,200k,cp_soltrim / commit_place,commit_place,0.001,core,15,0.3648,0.3648,0.0,0/15/0,1.0,0.5,0.7037,0.7037,0.0,0/15/0,1.0,0.5,0.3389,0.3389,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
