problem,K,arm,n_reported,mpr,mean_f1,score
M06-D10-PIN01,20,oracle_dedup,15.0,0.4000,0.4571,0.4286
M07-D10-PIN01,20,oracle_dedup,10.0,0.4300,0.5733,0.5017
M08-D10-PIN01,20,oracle_dedup,14.5,0.7250,0.8384,0.7817
M09-D10-PIN01,10,oracle_dedup,8.5,0.5100,0.5520,0.5310
M10-D10-PIN01,10,oracle_dedup,7.5,0.6300,0.7196,0.6748
M11-D10-PIN01,10,oracle_dedup,8.5,0.4600,0.4977,0.4788
M12-D10-PIN01,10,oracle_dedup,9.5,0.8000,0.8216,0.8108
M13-D10-PIN01,10,oracle_dedup,8.5,0.7500,0.8099,0.7800
M14-D10-PIN01,10,oracle_dedup,9.5,0.3000,0.3079,0.3039
M15-D10-PIN01,10,oracle_dedup,7.5,0.3300,0.3778,0.3539
M16-D10-PIN01,10,oracle_dedup,9.5,0.5500,0.5605,0.5553
M01-D10-PIN01,20,oracle_e112,15.0,0.6750,0.7706,0.7228
M02-D10-PIN01,20,oracle_e112,12.0,0.5750,0.7177,0.6463
M03-D10-PIN01,20,oracle_e112,11.0,0.5300,0.6829,0.6065
M04-D10-PIN01,20,oracle_e112,11.5,0.5750,0.7273,0.6511
M05-D10-PIN01,20,oracle_e112,13.5,0.6750,0.8057,0.7404
M06-D10-PIN01,20,oracle_e112,8.0,0.4000,0.5714,0.4857
M07-D10-PIN01,20,oracle_e112,9.5,0.4300,0.5834,0.5067
M08-D10-PIN01,20,oracle_e112,14.5,0.7250,0.8384,0.7817
M09-D10-PIN01,10,oracle_e112,6.0,0.5100,0.6375,0.5737
M10-D10-PIN01,10,oracle_e112,7.5,0.6300,0.7196,0.6748
M11-D10-PIN01,10,oracle_e112,5.5,0.4600,0.5942,0.5271
M12-D10-PIN01,10,oracle_e112,8.5,0.8000,0.8649,0.8325
M13-D10-PIN01,10,oracle_e112,7.5,0.7500,0.8562,0.8031
M14-D10-PIN01,10,oracle_e112,3.0,0.3000,0.4615,0.3808
M15-D10-PIN01,10,oracle_e112,4.0,0.3300,0.4714,0.4007
M16-D10-PIN01,10,oracle_e112,5.5,0.5500,0.6975,0.6237
