descent,evals,best_f,land_opt,dist,stop
75,4650,6.70752342558e-11,10,1.91763e-11,tolxstagnation
76,4110,1.74907199835e-10,7,3.53404e-11,tolxstagnation
77,4540,7.18500814401e-11,17,1.72165e-11,tolxstagnation
78,4090,3.74029696104e-11,12,6.83587e-12,tolxstagnation
79,3830,3.30260263581e-11,16,5.0804e-12,tolxstagnation
80,5810,4.03588273912e-12,2,1.33555e-12,tolxstagnation
81,5170,5.90603121964e-11,1,2.00072e-11,tolxstagnation
82,5160,3.10933501169e-11,2,1.09802e-11,tolxstagnation
83,4250,7.70796759753e-11,3,1.32938e-11,tolxstagnation
84,4080,3.86535248253e-11,3,8.22317e-12,tolxstagnation
85,3990,1.64622364548,1,0.556237,tolflatfitness
86,3980,7.82165443525e-11,12,1.43131e-11,tolxstagnation
87,3930,5.70139491174e-11,19,8.87316e-12,tolxstagnation
88,4030,9.66338120634e-11,3,1.55167e-11,tolxstagnation
89,4760,6.25277607469e-11,10,1.71296e-11,tolxstagnation
90,3860,1.38868472277e-10,12,2.19978e-11,tolxstagnation
91,3630,9.64064383879e-11,19,1.53173e-11,tolxstagnation
92,5070,8.07744982012e-11,13,2.41641e-11,tolxstagnation
93,3580,1.64622386887,10,0.469552,tolflatfitness
94,3630,6.66773303237e-11,19,1.10682e-11,tolxstagnation
95,5080,3.18323145621e-12,10,7.56133e-13,tolxstagnation
96,4720,2.11457518162e-11,10,5.94829e-12,tolxstagnation
97,3610,1.15960574476e-10,16,1.76082e-11,tolxstagnation
98,4790,1.07831965579e-10,10,3.08554e-11,tolxstagnation
99,3610,9.45306055655e-11,12,1.76439e-11,tolxstagnation
100,3920,6.05950845056e-11,11,1.05964e-11,tolxstagnation
101,4970,1.44950718095e-11,10,2.92597e-12,tolxstagnation
102,4420,2.10320649785e-12,3,4.11826e-13,tolxstagnation
103,4250,8.15703060653e-11,7,1.50541e-11,tolxstagnation
104,4480,8.6970430857e-12,5,1.96773e-12,tolxstagnation
105,3930,7.86144482845e-11,3,1.00727e-11,tolxstagnation
106,3780,6.71889210935e-11,12,1.20103e-11,tolxstagnation
107,4080,1.15514851039,1,0.373544,tolflatfitness
108,3670,2.73985278909e-11,16,4.3767e-12,tolxstagnation
109,4140,2.02931005333e-11,3,3.88155e-12,tolxstagnation
110,4990,6.02540239925e-12,14,1.59274e-12,tolxstagnation
111,4850,5.22959453519e-11,10,1.12396e-11,tolxstagnation
112,3950,1.08400399768e-10,3,2.0117e-11,tolxstagnation
113,3650,1.15514853536,10,0.315331,tolflatfitness
114,3950,7.23616722098e-11,12,1.30044e-11,tolxstagnation
115,6190,1.81898940355e-12,2,6.44469e-13,tolxstagnation
116,3660,7.85007614468e-11,16,1.28263e-11,tolxstagnation
117,200,10.0945388566,10,3.1217,budget
