descent,evals,best_f,land_opt,dist,stop
46,8640,5.68434188608e-14,1,3.5469e-08,tolflatfitness
47,3960,0,9,7.60855e-09,tolflatfitness
48,3330,0,4,7.4726e-09,tolflatfitness
49,9010,1.42108547152e-14,3,1.93496e-08,tolflatfitness
50,3110,1.42108547152e-14,4,1.19517e-08,tolflatfitness
51,3480,0,9,5.32871e-09,tolflatfitness
52,2990,0,4,7.19165e-09,tolflatfitness
53,2820,0,4,7.51766e-09,tolflatfitness
54,5760,2.84217094304e-14,16,2.04375e-08,tolflatfitness
55,3200,0,4,5.68571e-09,tolflatfitness
56,3650,0,17,4.47086e-09,tolflatfitness
57,3590,0,17,4.09618e-09,tolflatfitness
58,4150,0,14,4.28007e-09,tolflatfitness
59,3180,0,4,8.13049e-09,tolflatfitness
60,3480,1.42108547152e-14,9,1.28975e-08,tolflatfitness
61,3840,1.42108547152e-14,14,9.40292e-09,tolflatfitness
62,4740,2.84217094304e-14,5,2.19976e-08,tolflatfitness
63,5370,0,8,7.73253e-09,tolflatfitness
64,3540,0,14,4.47307e-09,tolflatfitness
65,3170,0,4,8.01527e-09,tolflatfitness
66,9720,4.26325641456e-14,1,2.73411e-08,tolflatfitness
67,3110,0,4,7.94063e-09,tolflatfitness
68,3610,0,17,5.81334e-09,tolflatfitness
69,3510,0,17,4.8968e-09,tolflatfitness
70,8040,1.42108547152e-14,6,1.86021e-08,tolflatfitness
71,3680,0,17,5.4305e-09,tolflatfitness
72,3270,1.42108547152e-14,17,1.01031e-08,tolflatfitness
73,7090,4.26325641456e-14,12,3.07534e-08,tolflatfitness
74,3440,0,4,7.84455e-09,tolflatfitness
75,2920,1.42108547152e-14,4,1.22985e-08,tolflatfitness
76,3840,1.42108547152e-14,9,1.39591e-08,tolflatfitness
77,3730,0,14,5.17248e-09,tolflatfitness
78,3140,0,4,7.3738e-09,tolflatfitness
79,7790,4.26325641456e-14,12,2.96095e-08,tolflatfitness
80,6450,1.42108547152e-14,5,1.42598e-08,tolflatfitness
81,2850,0,4,6.86413e-09,tolflatfitness
82,8790,2.84217094304e-14,1,2.33965e-08,tolflatfitness
83,4580,0,8,7.92638e-09,tolflatfitness
84,2820,0,11,9.24832e-09,tolflatfitness
85,3080,0,4,7.50767e-09,tolflatfitness
86,3480,1.42108547152e-14,13,1.09484e-08,tolflatfitness
87,6280,4.26325641456e-14,5,2.66702e-08,tolflatfitness
88,4590,1.42108547152e-14,16,8.4857e-09,tolflatfitness
89,3400,0,13,5.60435e-09,tolflatfitness
90,2830,0,11,7.73418e-09,tolflatfitness
91,2820,0,4,6.29886e-09,tolflatfitness
92,3300,1.42108547152e-14,17,1.18396e-08,tolflatfitness
93,5160,1.42108547152e-14,8,1.01058e-08,tolflatfitness
94,6770,0,5,3.6372e-09,tolflatfitness
95,10600,5.68434188608e-14,1,3.73468e-08,tolflatfitness
96,3040,0,4,7.5854e-09,tolflatfitness
97,3520,0,14,4.10668e-09,tolflatfitness
98,3170,0,4,7.03423e-09,tolflatfitness
99,2860,0,4,7.63778e-09,tolflatfitness
100,5090,2.84217094304e-14,8,2.06327e-08,tolflatfitness
101,3650,0,9,4.18964e-09,tolflatfitness
102,3380,0,17,4.9505e-09,tolflatfitness
103,3080,0,4,7.45443e-09,tolflatfitness
104,8820,4.26325641456e-14,3,3.14309e-08,tolflatfitness
105,7980,1.42108547152e-14,12,1.65867e-08,tolflatfitness
106,2890,0,4,8.01173e-09,tolflatfitness
107,3110,1.42108547152e-14,4,1.20024e-08,tolflatfitness
108,5570,1.42108547152e-14,16,1.43068e-08,tolflatfitness
109,3320,0,17,4.69478e-09,tolflatfitness
110,3880,1.42108547152e-14,14,7.747e-09,tolflatfitness
111,5700,0,16,3.25401e-09,tolflatfitness
112,7130,2.84217094304e-14,12,2.24536e-08,tolflatfitness
113,1870,0.000144681250532,16,0.000481994,budget
