function,method,seed,evals,eps,opt,width,pts,arrivals
N18-CF3-10D,NMMSO,400,400000,0.001,4,8.630155,7762,7540
N18-CF3-10D,NMMSO,400,400000,0.001,5,9.891001,7836,7836
N18-CF3-10D,NMMSO,500,400000,0.1,0,13.073342,8267,8208
N18-CF3-10D,NMMSO,500,400000,0.1,1,13.822251,8490,8413
N18-CF3-10D,NMMSO,500,400000,0.1,2,8.630155,0,0
N18-CF3-10D,NMMSO,500,400000,0.1,3,9.891001,0,0
N18-CF3-10D,NMMSO,500,400000,0.1,4,8.630155,7392,7246
N18-CF3-10D,NMMSO,500,400000,0.1,5,9.891001,8746,8742
N18-CF3-10D,NMMSO,500,400000,0.001,0,13.073342,8024,8013
N18-CF3-10D,NMMSO,500,400000,0.001,1,13.822251,7640,7596
N18-CF3-10D,NMMSO,500,400000,0.001,2,8.630155,0,0
N18-CF3-10D,NMMSO,500,400000,0.001,3,9.891001,0,0
N18-CF3-10D,NMMSO,500,400000,0.001,4,8.630155,6951,6874
N18-CF3-10D,NMMSO,500,400000,0.001,5,9.891001,8260,8256
