draw,start_opt,land_opt,dist,best_f,evals
208,3,5,0.00026448294879459873,1.4524833440996873e-05,1500
210,0,5,0.0035491579919293887,0.0023546975816341673,1500
211,1,5,0.0005325284144806313,5.392154165756262e-05,1500
212,3,5,0.0018421425914520386,0.0006359144335414979,1500
213,3,5,0.0028592997962112524,0.0017024556334231697,1500
214,3,5,9.685807035115084e-05,1.7828821903277688e-06,1500
215,1,5,0.0003967547526722003,2.9283224648980188e-05,1500
217,0,0,0.0014968692644039818,0.0007561865629321599,1500
216,1,5,0.00032452912879525424,1.9643043445710708e-05,1500
219,4,5,0.0010646993802320194,0.00021593778499990243,1500
218,3,5,0.0009739890536296435,0.0001786604225405561,1500
220,5,5,0.00024619505391377264,1.149096147126853e-05,1500
221,4,4,9.404304547680649e-05,2.3757422981395265e-06,1500
222,5,5,0.0001965356032659696,7.505619650326365e-06,1500
224,5,5,0.00017092144825411757,5.461073589927104e-06,1500
223,5,5,0.0001580858208294201,4.645161798514529e-06,1500
225,4,5,0.0007077733519704036,9.360414208965687e-05,1500
226,1,5,0.004556740636186545,0.003944160613384836,1500
227,4,4,0.0008015944288948373,0.00017593199647244752,1500
228,3,5,0.000509231541097212,4.8238441238008826e-05,1500
229,4,5,0.0003438360667070949,2.365707334208454e-05,1500
230,4,4,0.00028158685668132436,2.400514302682313e-05,1500
231,3,5,0.0008917414913588533,0.00015386417050683156,1500
233,3,5,0.0017844085061083656,0.0005954249947789976,1500
232,4,5,0.0005131425620759001,5.0474514559880685e-05,1500
234,4,4,0.0005333958731916021,7.190593197631335e-05,1500
235,2,5,0.006451441916666505,0.008013354473524662,1500
236,4,5,0.0019506312278848015,0.0007163752808512519,1500
237,0,0,0.0003530843687158361,4.2137695159499077e-05,1500
238,4,5,0.0009198078803287884,0.00015774293495515626,1500
239,0,5,0.0006101235652185868,7.113167002799754e-05,1500
240,3,5,0.0026643168668548877,0.001404209287796104,1500
241,4,5,0.0009515270458936633,0.00017934868506903944,1500
242,5,5,0.005293324382124132,0.005286640818479496,1500
244,4,4,0.00039914801945077177,4.281951951309339e-05,1500
243,4,5,0.0016825717137606382,0.0005825186053465527,1500
246,4,5,0.0015805382684064883,0.00046037487377781095,1500
245,4,5,0.00042417140779738125,3.6418562539588997e-05,1500
247,2,4,0.0003014325453345818,2.3520628966393252e-05,1500
248,4,5,0.0006952389967018181,9.227607844795754e-05,1500
249,3,5,0.0003962082567719227,2.9732494100448855e-05,1500
250,4,5,0.0012206455602564324,0.000305215670728233,1500
251,3,5,0.00046253682433463505,4.012694223485486e-05,1500
252,5,5,4.574431094569058,433.1134972695844,1500
