function,method,seed,scenario,regret,spread,wiped
F10-EllipsoidalRot,complement,2,40,0,0.00000,1
F10-EllipsoidalRot,complement,2,41,0,0.00000,1
F10-EllipsoidalRot,complement,2,42,0,0.00000,1
F10-EllipsoidalRot,complement,2,43,0,0.00000,0
F10-EllipsoidalRot,complement,2,44,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,15,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,16,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,17,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,18,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,19,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,20,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,21,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,22,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,23,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,24,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,25,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,26,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,27,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,28,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,29,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,30,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,31,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,32,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,33,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,34,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,35,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,36,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,37,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,38,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,39,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,40,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,41,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,42,0,0.00000,1
F10-EllipsoidalRot,spread@0.02,2,43,0,0.00000,0
F10-EllipsoidalRot,spread@0.02,2,44,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,15,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,16,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,17,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,18,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,19,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,20,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,21,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,22,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,23,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,24,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,25,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,26,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,27,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,28,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,29,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,30,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,31,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,32,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,33,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,34,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,35,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,36,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,37,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,38,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,39,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,40,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,41,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,42,0,0.00000,1
F10-EllipsoidalRot,spread@0.05,2,43,0,0.00000,0
F10-EllipsoidalRot,spread@0.05,2,44,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,15,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,16,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,17,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,18,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,19,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,20,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,21,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,22,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,23,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,24,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,25,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,26,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,27,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,28,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,29,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,30,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,31,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,32,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,33,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,34,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,35,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,36,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,37,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,38,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,39,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,40,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,41,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,42,0,0.00000,1
F10-EllipsoidalRot,spread@0.1,2,43,0,0.00000,0
F10-EllipsoidalRot,spread@0.1,2,44,0,0.00000,0
F10-EllipsoidalRot,spread@0.15,2,15,0,0.00000,1
