pid,idx,nn,tau,clustered,hits,reached
M03,3,3.481777180294085,4.961088816756365,1,0,0
M03,4,9.852954034512067,4.961088816756365,0,2,1
M03,5,4.776665740879042,4.961088816756365,1,0,0
M03,6,3.781640317057941,4.961088816756365,1,0,0
M03,7,9.657372721905913,4.961088816756365,0,6,1
M03,8,10.260373596008604,4.961088816756365,0,6,1
M03,9,2.8810636256982334,4.961088816756365,1,0,0
M03,10,5.8932625406470756,4.961088816756365,0,0,0
M03,11,5.647939642019232,4.961088816756365,0,0,0
M03,12,2.8810636256982334,4.961088816756365,1,0,0
M03,13,5.95457972498183,4.961088816756365,0,3,1
M03,14,8.635998127933878,4.961088816756365,0,4,1
M03,15,7.450975414097136,4.961088816756365,0,6,1
M03,16,7.41242770732423,4.961088816756365,0,8,1
M03,17,3.3853659194650194,4.961088816756365,1,0,0
M03,18,4.065284975509461,4.961088816756365,1,0,0
M03,19,7.837817147880334,4.961088816756365,0,3,1
M04,0,4.0955929729631,4.996585369563928,1,0,0
M04,1,10.317297652310401,4.996585369563928,0,6,1
M04,2,3.3347597636482114,4.996585369563928,1,0,0
M04,3,5.6150940765163675,4.996585369563928,0,2,1
M04,4,7.782574023884448,4.996585369563928,0,35,1
M04,5,9.111250755785074,4.996585369563928,0,13,1
M04,6,6.047512159252739,4.996585369563928,0,1,1
M04,7,4.342617262550687,4.996585369563928,1,0,0
M04,8,6.759853164422447,4.996585369563928,0,5,1
M04,9,8.319209760588816,4.996585369563928,0,8,1
M04,10,2.7854723012498304,4.996585369563928,1,0,0
M04,11,6.486096105528957,4.996585369563928,0,7,1
M04,12,6.126704753141735,4.996585369563928,0,4,1
M04,13,4.221957220288798,4.996585369563928,1,2,1
M04,14,8.943743381930506,4.996585369563928,0,10,1
M04,15,5.001150644452359,4.996585369563928,0,0,0
M04,16,7.643988195081893,4.996585369563928,0,7,1
M04,17,9.692831569468087,4.996585369563928,0,14,1
M04,18,3.219867034892288,4.996585369563928,1,0,0
M04,19,2.7854723012498304,4.996585369563928,1,0,0
M05,0,2.661886081486238,4.993047253608008,1,0,0
M05,1,10.74210306935663,4.993047253608008,0,9,1
M05,2,7.869599901264569,4.993047253608008,0,8,1
M05,3,8.181723659272524,4.993047253608008,0,18,1
M05,4,3.940132199010773,4.993047253608008,1,0,0
M05,5,6.069066596388374,4.993047253608008,0,1,1
M05,6,4.514369778787761,4.993047253608008,1,0,0
M05,7,8.165860866931334,4.993047253608008,0,5,1
M05,8,3.3471177754526438,4.993047253608008,1,0,0
M05,9,3.603121422840007,4.993047253608008,1,0,0
M05,10,9.099297688804011,4.993047253608008,0,19,1
M05,11,5.292493450915859,4.993047253608008,0,1,1
M05,12,9.965846027375868,4.993047253608008,0,18,1
M05,13,7.936475421681828,4.993047253608008,0,8,1
M05,14,5.698044310315543,4.993047253608008,0,3,1
M05,15,4.571559104909762,4.993047253608008,1,0,0
M05,16,7.2737234654247125,4.993047253608008,0,16,1
M05,17,6.069066596388374,4.993047253608008,0,1,1
M05,18,2.661886081486238,4.993047253608008,1,0,0
M05,19,8.165860866931334,4.993047253608008,0,11,1
M06,0,5.037402218382052,4.972669187352975,0,2,1
M06,1,9.265736264644353,4.972669187352975,0,18,1
M06,2,3.7842423335616595,4.972669187352975,1,0,0
M06,3,3.0027703223400506,4.972669187352975,1,0,0
M06,4,7.127344762316589,4.972669187352975,0,5,1
M06,5,7.673342563851309,4.972669187352975,0,22,1
M06,6,9.160692203501368,4.972669187352975,0,11,1
M06,7,4.141219138534877,4.972669187352975,1,1,1
M06,8,9.041641906875656,4.972669187352975,0,13,1
M06,9,7.538358315120409,4.972669187352975,0,20,1
M06,10,5.604314219418555,4.972669187352975,0,4,1
M06,11,6.833384509181026,4.972669187352975,0,11,1
