descent,evals,best_f,land_opt,dist,stop,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
11,12510,7.24730853108e-09,4,7.13965e-08,maxfevals,-1.92703754173,-3.8462013067,3.14453264661,2.83731119903,2.58720756101,4.37001180957,-2.62165614097,-0.948697335256,2.81668071106,-3.4931660517
12,12510,1.00361461364e-08,4,9.30569e-08,maxfevals,-1.9270375446,-3.8462012935,3.14453265656,2.83731118721,2.5872075561,4.3700118203,-2.62165613869,-0.948697319729,2.81668068379,-3.49316606825
13,4440,9.77706804406e-11,16,1.31406e-10,tolxstagnation,3.6101962446,-2.85791977849,3.28068244115,0.71086624984,1.18772173796,-3.43657903696,-2.19962605415,-0.431118301638,-3.00935292381,-1.65076599613
14,4280,5.36459765499e-11,16,5.37287e-11,tolxstagnation,3.61019624466,-2.85791977854,3.28068244113,0.710866249843,1.18772173795,-3.43657903695,-2.19962605411,-0.431118301636,-3.00935292375,-1.6507659962
15,4690,3.42197381542e-11,16,6.19057e-11,tolxstagnation,3.61019624462,-2.85791977848,3.28068244114,0.710866249829,1.18772173798,-3.43657903696,-2.19962605411,-0.431118301611,-3.00935292378,-1.65076599619
16,12510,6.85877822093e-07,3,9.2315e-06,maxfevals,-1.87668898999,4.47430224868,0.634792836479,-1.41206841693,-0.894811707323,-0.494012065489,-2.76566645346,1.47694156607,-1.99993671051,-3.10235680812
17,12510,5.50023031565e-08,18,5.94594e-07,maxfevals,0.661292165731,0.392620322771,-3.57484546339,2.01341754716,1.75364795004,0.321906418239,-1.73565715787,0.317087703478,-1.22218877562,1.69419241334
18,12510,9.21508558349e-09,4,8.60519e-08,maxfevals,-1.92703753732,-3.84620130194,3.14453265484,2.8373111863,2.58720755201,4.37001182338,-2.62165614028,-0.948697319362,2.81668067719,-3.49316607106
19,12510,5.14329641987e-07,3,7.57561e-06,maxfevals,-1.87668896254,4.47430410362,0.634791211328,-1.4120662344,-0.894809630788,-0.494013573611,-2.76566667689,1.4769419455,-1.99993435613,-3.1023542451
20,4190,8.02486965767e-11,16,1.1315e-10,tolxstagnation,3.61019624462,-2.8579197785,3.28068244113,0.710866249834,1.18772173798,-3.43657903696,-2.19962605416,-0.431118301612,-3.00935292381,-1.65076599614
