function,method,seed,scenario,regret
F01-Sphere,NM-Restart,0,44,3.57339e-09
F01-Sphere,IPOP-CMA-ES,0,15,5.85708e-09
F01-Sphere,IPOP-CMA-ES,0,16,4.0836e-09
F01-Sphere,IPOP-CMA-ES,0,17,0
F01-Sphere,IPOP-CMA-ES,0,18,0
F01-Sphere,IPOP-CMA-ES,0,19,1.40411e-10
F01-Sphere,IPOP-CMA-ES,0,20,2.85344e-09
F01-Sphere,IPOP-CMA-ES,0,21,0
F01-Sphere,IPOP-CMA-ES,0,22,0
F01-Sphere,IPOP-CMA-ES,0,23,3.60251e-09
F01-Sphere,IPOP-CMA-ES,0,24,5.40958e-09
F01-Sphere,IPOP-CMA-ES,0,25,3.94969e-11
F01-Sphere,IPOP-CMA-ES,0,26,3.93438e-09
F01-Sphere,IPOP-CMA-ES,0,27,6.42436e-09
F01-Sphere,IPOP-CMA-ES,0,28,4.09908e-09
F01-Sphere,IPOP-CMA-ES,0,29,3.05572e-09
F01-Sphere,IPOP-CMA-ES,0,30,5.72859e-09
F01-Sphere,IPOP-CMA-ES,0,31,3.35847e-09
F01-Sphere,IPOP-CMA-ES,0,32,6.30415e-09
F01-Sphere,IPOP-CMA-ES,0,33,2.31994e-09
F01-Sphere,IPOP-CMA-ES,0,34,4.03192e-09
F01-Sphere,IPOP-CMA-ES,0,35,5.84765e-10
F01-Sphere,IPOP-CMA-ES,0,36,2.11495e-09
F01-Sphere,IPOP-CMA-ES,0,37,1.01939e-09
F01-Sphere,IPOP-CMA-ES,0,38,2.85805e-09
F01-Sphere,IPOP-CMA-ES,0,39,2.07724e-09
F01-Sphere,IPOP-CMA-ES,0,40,5.6302e-09
F01-Sphere,IPOP-CMA-ES,0,41,4.749e-09
F01-Sphere,IPOP-CMA-ES,0,42,3.01011e-09
F01-Sphere,IPOP-CMA-ES,0,43,4.21041e-10
F01-Sphere,IPOP-CMA-ES,0,44,0
F01-Sphere,DE,0,15,4.46728e-09
F01-Sphere,DE,0,16,6.96048e-09
F01-Sphere,DE,0,17,2.14033e-09
F01-Sphere,DE,0,18,2.85578e-09
F01-Sphere,DE,0,19,1.98147e-10
F01-Sphere,DE,0,20,6.14695e-09
F01-Sphere,DE,0,21,8.02348e-10
F01-Sphere,DE,0,22,4.66823e-10
F01-Sphere,DE,0,23,0
F01-Sphere,DE,0,24,7.48764e-09
F01-Sphere,DE,0,25,3.64596e-09
F01-Sphere,DE,0,26,6.87429e-09
F01-Sphere,DE,0,27,6.89134e-09
F01-Sphere,DE,0,28,1.29051e-09
F01-Sphere,DE,0,29,0
F01-Sphere,DE,0,30,4.18949e-09
F01-Sphere,DE,0,31,0
F01-Sphere,DE,0,32,7.20308e-09
F01-Sphere,DE,0,33,0
F01-Sphere,DE,0,34,1.08018e-09
F01-Sphere,DE,0,35,0
F01-Sphere,DE,0,36,0
F01-Sphere,DE,0,37,0
F01-Sphere,DE,0,38,0
F01-Sphere,DE,0,39,5.53435e-09
F01-Sphere,DE,0,40,7.50871e-09
F01-Sphere,DE,0,41,2.40748e-09
F01-Sphere,DE,0,42,0
F01-Sphere,DE,0,43,4.02785e-09
F01-Sphere,DE,0,44,3.40116e-09
F01-Sphere,quality,0,15,0
F01-Sphere,quality,0,16,0
F01-Sphere,quality,0,17,5.04766e-09
F01-Sphere,quality,0,18,3.74999e-09
F01-Sphere,quality,0,19,6.58317e-09
F01-Sphere,quality,0,20,0
F01-Sphere,quality,0,21,6.23242e-09
F01-Sphere,quality,0,22,6.36207e-09
F01-Sphere,quality,0,23,4.20591e-09
F01-Sphere,quality,0,24,0
F01-Sphere,quality,0,25,0
F01-Sphere,quality,0,26,0
F01-Sphere,quality,0,27,0
F01-Sphere,quality,0,28,2.39114e-10
F01-Sphere,quality,0,29,6.68855e-09
F01-Sphere,quality,0,30,0
F01-Sphere,quality,0,31,5.93985e-09
F01-Sphere,quality,0,32,0
F01-Sphere,quality,0,33,7.41303e-09
F01-Sphere,quality,0,34,5.21031e-10
F01-Sphere,quality,0,35,6.98604e-09
F01-Sphere,quality,0,36,7.47999e-09
F01-Sphere,quality,0,37,7.27228e-09
F01-Sphere,quality,0,38,6.98451e-09
F01-Sphere,quality,0,39,0
F01-Sphere,quality,0,40,0
F01-Sphere,quality,0,41,0
F01-Sphere,quality,0,42,6.76637e-09
F01-Sphere,quality,0,43,0
F01-Sphere,quality,0,44,1.92549e-09
F01-Sphere,complement,0,15,0
F01-Sphere,complement,0,16,0
F01-Sphere,complement,0,17,5.04766e-09
F01-Sphere,complement,0,18,3.74999e-09
