function,method,seed,scenario,regret
F01-Sphere,NM-Restart,0,44,6.62074e-09
F01-Sphere,IPOP-CMA-ES,0,15,1.37249e-08
F01-Sphere,IPOP-CMA-ES,0,16,1.11196e-08
F01-Sphere,IPOP-CMA-ES,0,17,0
F01-Sphere,IPOP-CMA-ES,0,18,0
F01-Sphere,IPOP-CMA-ES,0,19,0
F01-Sphere,IPOP-CMA-ES,0,20,8.28728e-09
F01-Sphere,IPOP-CMA-ES,0,21,0
F01-Sphere,IPOP-CMA-ES,0,22,0
F01-Sphere,IPOP-CMA-ES,0,23,5.48774e-09
F01-Sphere,IPOP-CMA-ES,0,24,1.40316e-08
F01-Sphere,IPOP-CMA-ES,0,25,1.55038e-09
F01-Sphere,IPOP-CMA-ES,0,26,1.07811e-08
F01-Sphere,IPOP-CMA-ES,0,27,1.5857e-08
F01-Sphere,IPOP-CMA-ES,0,28,8.7602e-09
F01-Sphere,IPOP-CMA-ES,0,29,3.28484e-09
F01-Sphere,IPOP-CMA-ES,0,30,1.33513e-08
F01-Sphere,IPOP-CMA-ES,0,31,4.22982e-09
F01-Sphere,IPOP-CMA-ES,0,32,1.5738e-08
F01-Sphere,IPOP-CMA-ES,0,33,1.46894e-09
F01-Sphere,IPOP-CMA-ES,0,34,8.41493e-09
F01-Sphere,IPOP-CMA-ES,0,35,0
F01-Sphere,IPOP-CMA-ES,0,36,1.02222e-09
F01-Sphere,IPOP-CMA-ES,0,37,0
F01-Sphere,IPOP-CMA-ES,0,38,2.7525e-09
F01-Sphere,IPOP-CMA-ES,0,39,6.46012e-09
F01-Sphere,IPOP-CMA-ES,0,40,1.44892e-08
F01-Sphere,IPOP-CMA-ES,0,41,1.06386e-08
F01-Sphere,IPOP-CMA-ES,0,42,3.15783e-09
F01-Sphere,IPOP-CMA-ES,0,43,2.48109e-09
F01-Sphere,IPOP-CMA-ES,0,44,0
F01-Sphere,DE,0,15,8.93458e-09
F01-Sphere,DE,0,16,1.3921e-08
F01-Sphere,DE,0,17,5.63342e-09
F01-Sphere,DE,0,18,6.20627e-09
F01-Sphere,DE,0,19,2.92026e-09
F01-Sphere,DE,0,20,1.22939e-08
F01-Sphere,DE,0,21,4.01695e-09
F01-Sphere,DE,0,22,3.53808e-09
F01-Sphere,DE,0,23,0
F01-Sphere,DE,0,24,1.49753e-08
F01-Sphere,DE,0,25,7.29194e-09
F01-Sphere,DE,0,26,1.37486e-08
F01-Sphere,DE,0,27,1.37827e-08
F01-Sphere,DE,0,28,2.58102e-09
F01-Sphere,DE,0,29,0
F01-Sphere,DE,0,30,8.37901e-09
F01-Sphere,DE,0,31,0
F01-Sphere,DE,0,32,1.44062e-08
F01-Sphere,DE,0,33,0
F01-Sphere,DE,0,34,2.16035e-09
F01-Sphere,DE,0,35,1.87608e-09
F01-Sphere,DE,0,36,0
F01-Sphere,DE,0,37,1.11693e-09
F01-Sphere,DE,0,38,0
F01-Sphere,DE,0,39,1.10687e-08
F01-Sphere,DE,0,40,1.50174e-08
F01-Sphere,DE,0,41,4.81499e-09
F01-Sphere,DE,0,42,0
F01-Sphere,DE,0,43,8.05574e-09
F01-Sphere,DE,0,44,6.27627e-09
F01-Sphere,quality,0,15,0
F01-Sphere,quality,0,16,0
F01-Sphere,quality,0,17,1.14481e-08
F01-Sphere,quality,0,18,7.99465e-09
F01-Sphere,quality,0,19,1.56903e-08
F01-Sphere,quality,0,20,0
F01-Sphere,quality,0,21,1.48771e-08
F01-Sphere,quality,0,22,1.53285e-08
F01-Sphere,quality,0,23,8.4118e-09
F01-Sphere,quality,0,24,0
F01-Sphere,quality,0,25,0
F01-Sphere,quality,0,26,0
F01-Sphere,quality,0,27,0
F01-Sphere,quality,0,28,4.78199e-10
F01-Sphere,quality,0,29,1.33771e-08
F01-Sphere,quality,0,30,0
F01-Sphere,quality,0,31,1.18797e-08
F01-Sphere,quality,0,32,0
F01-Sphere,quality,0,33,1.4826e-08
F01-Sphere,quality,0,34,1.04203e-09
F01-Sphere,quality,0,35,1.58481e-08
F01-Sphere,quality,0,36,1.496e-08
F01-Sphere,quality,0,37,1.56615e-08
F01-Sphere,quality,0,38,1.3969e-08
F01-Sphere,quality,0,39,0
F01-Sphere,quality,0,40,0
F01-Sphere,quality,0,41,0
F01-Sphere,quality,0,42,1.35327e-08
F01-Sphere,quality,0,43,0
