function,method,seed,n_report,spread,distinct,quality
F05-LinearSlope,NMMSO,2,1,0.00000,1,0
F05-LinearSlope,NCDE,2,30,0.19676,5,2.506
F05-LinearSlope,r3pso,2,30,0.00000,1,0
F05-LinearSlope,NM-Restart,2,184,0.67972,3,10.015
F05-LinearSlope,IPOP-CMA-ES,2,101,0.00000,1,0
F05-LinearSlope,DE,2,30,0.00000,1,0
F05-LinearSlope,PSO,2,30,0.00000,1,0
F05-LinearSlope,Crowding-DE,2,30,0.11767,5,2.47701
F05-LinearSlope,MAP-Elites,2,400,0.14947,5,1.48173
F05-LinearSlope,MC-ESO-crowd,2,35,0.17314,5,1.57457
F06-AttractiveSector,MC-ESO,0,25,0.00000,1,0
F06-AttractiveSector,NMMSO,0,2,0.46059,2,1.923e+13
F06-AttractiveSector,NCDE,0,30,0.40197,5,1.3687e+12
F06-AttractiveSector,r3pso,0,30,0.00000,1,0.0604007
F06-AttractiveSector,NM-Restart,0,21,0.51161,3,3.6428e+11
F06-AttractiveSector,IPOP-CMA-ES,0,52,0.15670,5,3.48785e+08
F06-AttractiveSector,DE,0,30,0.00000,1,0.014789
F06-AttractiveSector,PSO,0,30,0.00000,1,0.0120157
F06-AttractiveSector,Crowding-DE,0,30,0.10273,4,1.15004e+08
F06-AttractiveSector,MAP-Elites,0,400,0.12001,5,2.52901e+08
F06-AttractiveSector,MC-ESO-crowd,0,36,0.20536,5,4.35694e+08
F06-AttractiveSector,MC-ESO,1,26,0.00000,1,0
F06-AttractiveSector,NMMSO,1,2,0.00000,1,0.00367718
F06-AttractiveSector,NCDE,1,30,0.34042,5,6.16908e+10
F06-AttractiveSector,r3pso,1,30,0.00000,1,3.11682e-05
F06-AttractiveSector,NM-Restart,1,19,0.51161,3,3.6428e+11
F06-AttractiveSector,IPOP-CMA-ES,1,52,0.05643,2,1.84299e+07
F06-AttractiveSector,DE,1,30,0.00000,1,0.286778
F06-AttractiveSector,PSO,1,30,0.00000,1,0.0164237
