function,method,seed,scenario,regret,spread,wiped
F01-Sphere,NM-Restart,0,22,0,0.00000,0
F01-Sphere,NM-Restart,0,23,0.178908,0.00000,1
F01-Sphere,NM-Restart,0,24,9.91975,0.00000,1
F01-Sphere,NM-Restart,0,25,0,0.00000,0
F01-Sphere,NM-Restart,0,26,0,0.00000,0
F01-Sphere,NM-Restart,0,27,0,0.00000,0
F01-Sphere,NM-Restart,0,28,0,0.00000,0
F01-Sphere,NM-Restart,0,29,0,0.00000,0
F01-Sphere,NM-Restart,0,30,0.11447,0.00000,1
F01-Sphere,NM-Restart,0,31,0.205161,0.00000,1
F01-Sphere,NM-Restart,0,32,0.194503,0.00000,1
F01-Sphere,NM-Restart,0,33,0,0.00000,0
F01-Sphere,NM-Restart,0,34,10.0183,0.00000,1
F01-Sphere,NM-Restart,0,35,0,0.00000,0
F01-Sphere,NM-Restart,0,36,0.214063,0.00000,1
F01-Sphere,NM-Restart,0,37,0,0.00000,0
F01-Sphere,NM-Restart,0,38,0.223178,0.00000,1
F01-Sphere,NM-Restart,0,39,0,0.00000,0
F01-Sphere,NM-Restart,0,40,10.005,0.00000,1
F01-Sphere,NM-Restart,0,41,0.134589,0.00000,1
F01-Sphere,NM-Restart,0,42,0,0.00000,0
F01-Sphere,NM-Restart,0,43,9.91335,0.00000,1
F01-Sphere,NM-Restart,0,44,0,0.00000,0
F01-Sphere,NM-Restart+s,0,15,0,0.00000,0
F01-Sphere,NM-Restart+s,0,16,0.201594,0.00000,1
F01-Sphere,NM-Restart+s,0,17,0,0.00000,0
F01-Sphere,NM-Restart+s,0,18,0,0.00000,0
F01-Sphere,NM-Restart+s,0,19,0.209439,0.00000,1
F01-Sphere,NM-Restart+s,0,20,0,0.00000,0
F01-Sphere,NM-Restart+s,0,21,0.23952,0.00000,1
F01-Sphere,NM-Restart+s,0,22,0,0.00000,0
F01-Sphere,NM-Restart+s,0,23,0.178908,0.00000,1
F01-Sphere,NM-Restart+s,0,24,9.91975,0.00000,1
F01-Sphere,NM-Restart+s,0,25,0,0.00000,0
F01-Sphere,NM-Restart+s,0,26,0,0.00000,0
F01-Sphere,NM-Restart+s,0,27,0,0.00000,0
F01-Sphere,NM-Restart+s,0,28,0,0.00000,0
F01-Sphere,NM-Restart+s,0,29,0,0.00000,0
F01-Sphere,NM-Restart+s,0,30,0.114469,0.00000,1
F01-Sphere,NM-Restart+s,0,31,0.205161,0.00000,1
F01-Sphere,NM-Restart+s,0,32,0.194501,0.00000,1
F01-Sphere,NM-Restart+s,0,33,0,0.00000,0
F01-Sphere,NM-Restart+s,0,34,10.0183,0.00000,1
F01-Sphere,NM-Restart+s,0,35,0,0.00000,0
F01-Sphere,NM-Restart+s,0,36,0.214063,0.00000,1
F01-Sphere,NM-Restart+s,0,37,0,0.00000,0
F01-Sphere,NM-Restart+s,0,38,0.223178,0.00000,1
F01-Sphere,NM-Restart+s,0,39,0,0.00000,0
F01-Sphere,NM-Restart+s,0,40,10.005,0.00000,1
F01-Sphere,NM-Restart+s,0,41,0.134588,0.00000,1
F01-Sphere,NM-Restart+s,0,42,0,0.00000,0
F01-Sphere,NM-Restart+s,0,43,9.91335,0.00000,1
F01-Sphere,NM-Restart+s,0,44,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,15,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,16,0.201595,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,17,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,18,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,19,0.209439,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,20,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,21,0.23952,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,22,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,23,0.178908,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,24,9.91975,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,25,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,26,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,27,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,28,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,29,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,30,0.11447,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,31,0.205161,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,32,0.194503,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,33,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,34,10.0183,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,35,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,36,0.214063,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,37,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,38,0.223178,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,39,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,40,10.005,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,41,0.134589,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,42,0,0.00000,0
F01-Sphere,IPOP-CMA-ES,0,43,9.91335,0.00000,1
F01-Sphere,IPOP-CMA-ES,0,44,0,0.00000,0
F01-Sphere,IPOP-CMA-ES+s,0,15,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,16,0.182134,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,17,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,18,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,19,0.197756,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,20,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,21,0.224256,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,22,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,23,0.164974,0.00263,1
