function,method,seed,scenario,regret
F01-Sphere,PSO,0,16,8.91015e-06
F01-Sphere,PSO,0,17,2.14868e-06
F01-Sphere,PSO,0,18,4.52189e-06
F01-Sphere,PSO,0,19,1.62601e-08
F01-Sphere,PSO,0,20,9.19207e-06
F01-Sphere,PSO,0,21,1.28111e-08
F01-Sphere,PSO,0,22,1.44544e-08
F01-Sphere,PSO,0,23,1.56268e-08
F01-Sphere,PSO,0,24,7.79757e-06
F01-Sphere,PSO,0,25,8.35689e-06
F01-Sphere,PSO,0,26,8.97322e-06
F01-Sphere,PSO,0,27,4.63439e-06
F01-Sphere,PSO,0,28,7.59824e-09
F01-Sphere,PSO,0,29,2.12411e-08
F01-Sphere,PSO,0,30,1.12638e-08
F01-Sphere,PSO,0,31,1.97341e-08
F01-Sphere,PSO,0,32,5.5666e-06
F01-Sphere,PSO,0,33,2.21013e-08
F01-Sphere,PSO,0,34,7.91276e-09
F01-Sphere,PSO,0,35,1.86656e-08
F01-Sphere,PSO,0,36,2.19959e-08
F01-Sphere,PSO,0,37,1.99849e-08
F01-Sphere,PSO,0,38,2.17315e-08
F01-Sphere,PSO,0,39,9.14037e-06
F01-Sphere,PSO,0,40,7.45835e-06
F01-Sphere,PSO,0,41,8.76755e-09
F01-Sphere,PSO,0,42,2.13786e-08
F01-Sphere,PSO,0,43,8.56906e-06
F01-Sphere,PSO,0,44,6.79366e-06
F01-Sphere,Crowding-DE,0,15,0
F01-Sphere,Crowding-DE,0,16,0
F01-Sphere,Crowding-DE,0,17,0
F01-Sphere,Crowding-DE,0,18,0
F01-Sphere,Crowding-DE,0,19,3.45599e-06
F01-Sphere,Crowding-DE,0,20,0
F01-Sphere,Crowding-DE,0,21,1.61425e-06
F01-Sphere,Crowding-DE,0,22,2.46355e-06
F01-Sphere,Crowding-DE,0,23,8.6842e-06
F01-Sphere,Crowding-DE,0,24,0
F01-Sphere,Crowding-DE,0,25,0
F01-Sphere,Crowding-DE,0,26,0
F01-Sphere,Crowding-DE,0,27,0
F01-Sphere,Crowding-DE,0,28,4.36785e-06
F01-Sphere,Crowding-DE,0,29,9.10365e-06
F01-Sphere,Crowding-DE,0,30,4.00973e-07
F01-Sphere,Crowding-DE,0,31,9.21974e-06
F01-Sphere,Crowding-DE,0,32,0
F01-Sphere,Crowding-DE,0,33,8.21209e-06
F01-Sphere,Crowding-DE,0,34,4.89259e-06
F01-Sphere,Crowding-DE,0,35,4.92107e-06
F01-Sphere,Crowding-DE,0,36,7.88863e-06
F01-Sphere,Crowding-DE,0,37,5.84517e-06
F01-Sphere,Crowding-DE,0,38,8.92051e-06
F01-Sphere,Crowding-DE,0,39,0
F01-Sphere,Crowding-DE,0,40,0
F01-Sphere,Crowding-DE,0,41,2.79655e-06
F01-Sphere,Crowding-DE,0,42,9.06671e-06
F01-Sphere,Crowding-DE,0,43,0
F01-Sphere,Crowding-DE,0,44,0
F01-Sphere,quality,0,15,1.50833e-08
F01-Sphere,quality,0,16,8.89999e-06
F01-Sphere,quality,0,17,2.15818e-06
F01-Sphere,quality,0,18,4.52827e-06
F01-Sphere,quality,0,19,2.98232e-08
F01-Sphere,quality,0,20,9.18429e-06
F01-Sphere,quality,0,21,2.5532e-08
F01-Sphere,quality,0,22,2.76284e-08
F01-Sphere,quality,0,23,1.88273e-08
F01-Sphere,quality,0,24,7.78504e-06
F01-Sphere,quality,0,25,8.35488e-06
F01-Sphere,quality,0,26,8.96335e-06
F01-Sphere,quality,0,27,4.62058e-06
F01-Sphere,quality,0,28,9.5637e-10
F01-Sphere,quality,0,29,3.0541e-08
F01-Sphere,quality,0,30,0
F01-Sphere,quality,0,31,2.69775e-08
F01-Sphere,quality,0,32,5.55281e-06
F01-Sphere,quality,0,33,3.40887e-08
F01-Sphere,quality,0,34,2.08404e-09
F01-Sphere,quality,0,35,3.24849e-08
F01-Sphere,quality,0,36,3.44474e-08
F01-Sphere,quality,0,37,3.37237e-08
F01-Sphere,quality,0,38,3.19672e-08
F01-Sphere,quality,0,39,9.13414e-06
F01-Sphere,quality,0,40,7.44546e-06
F01-Sphere,quality,0,41,0
F01-Sphere,quality,0,42,3.09146e-08
F01-Sphere,quality,0,43,8.56624e-06
F01-Sphere,quality,0,44,6.7959e-06
F01-Sphere,complement,0,15,1.50833e-08
F01-Sphere,complement,0,16,8.89999e-06
F01-Sphere,complement,0,17,2.15818e-06
F01-Sphere,complement,0,18,4.52827e-06
F01-Sphere,complement,0,19,2.98232e-08
F01-Sphere,complement,0,20,9.18429e-06
F01-Sphere,complement,0,21,2.5532e-08
F01-Sphere,complement,0,22,2.76284e-08
F01-Sphere,complement,0,23,1.88273e-08
F01-Sphere,complement,0,24,7.78504e-06
F01-Sphere,complement,0,25,8.35488e-06
F01-Sphere,complement,0,26,8.96335e-06
F01-Sphere,complement,0,27,4.62058e-06
F01-Sphere,complement,0,28,9.5637e-10
F01-Sphere,complement,0,29,3.0541e-08
F01-Sphere,complement,0,30,0
F01-Sphere,complement,0,31,2.69775e-08
F01-Sphere,complement,0,32,5.55281e-06
F01-Sphere,complement,0,33,3.40887e-08
F01-Sphere,complement,0,34,2.08404e-09
F01-Sphere,complement,0,35,3.24849e-08
F01-Sphere,complement,0,36,3.44474e-08
F01-Sphere,complement,0,37,3.37237e-08
F01-Sphere,complement,0,38,3.19672e-08
F01-Sphere,complement,0,39,9.13414e-06
F01-Sphere,complement,0,40,7.44546e-06
F01-Sphere,complement,0,41,0
F01-Sphere,complement,0,42,3.09146e-08
F01-Sphere,complement,0,43,8.56624e-06
F01-Sphere,complement,0,44,6.7959e-06
F01-Sphere,MC-ESO,1,15,7.03155e-06
F01-Sphere,MC-ESO,1,16,6.29722e-09
F01-Sphere,MC-ESO,1,17,6.87292e-09
F01-Sphere,MC-ESO,1,18,7.6067e-06
F01-Sphere,MC-ESO,1,19,7.63338e-06
F01-Sphere,MC-ESO,1,20,6.38306e-06
F01-Sphere,MC-ESO,1,21,9.20583e-09
F01-Sphere,MC-ESO,1,22,1.41201e-08
F01-Sphere,MC-ESO,1,23,7.33518e-06
F01-Sphere,MC-ESO,1,24,1.57289e-08
F01-Sphere,MC-ESO,1,25,5.44735e-06
F01-Sphere,MC-ESO,1,26,4.86089e-06
F01-Sphere,MC-ESO,1,27,7.52764e-06
F01-Sphere,MC-ESO,1,28,6.47438e-09
F01-Sphere,MC-ESO,1,29,7.20496e-07
F01-Sphere,MC-ESO,1,30,1.51136e-08
F01-Sphere,MC-ESO,1,31,3.90297e-06
F01-Sphere,MC-ESO,1,32,1.71372e-08
F01-Sphere,MC-ESO,1,33,1.7156e-08
F01-Sphere,MC-ESO,1,34,2.24003e-08
F01-Sphere,MC-ESO,1,35,7.27094e-06
F01-Sphere,MC-ESO,1,36,8.46704e-09
F01-Sphere,MC-ESO,1,37,4.96267e-07
F01-Sphere,MC-ESO,1,38,6.6089e-09
F01-Sphere,MC-ESO,1,39,6.09415e-06
F01-Sphere,MC-ESO,1,40,1.35757e-08
F01-Sphere,MC-ESO,1,41,2.70449e-08
F01-Sphere,MC-ESO,1,42,1.28792e-08
F01-Sphere,MC-ESO,1,43,7.03958e-06
F01-Sphere,MC-ESO,1,44,8.65914e-07
F01-Sphere,NMMSO,1,15,7.03092e-06
F01-Sphere,NMMSO,1,16,2.0804e-08
F01-Sphere,NMMSO,1,17,2.09782e-08
F01-Sphere,NMMSO,1,18,7.60251e-06
F01-Sphere,NMMSO,1,19,7.62424e-06
F01-Sphere,NMMSO,1,20,6.38498e-06
F01-Sphere,NMMSO,1,21,1.86896e-08
F01-Sphere,NMMSO,1,22,1.17894e-09
F01-Sphere,NMMSO,1,23,7.33298e-06
F01-Sphere,NMMSO,1,24,1.65946e-08
F01-Sphere,NMMSO,1,25,5.43297e-06
F01-Sphere,NMMSO,1,26,4.867e-06
F01-Sphere,NMMSO,1,27,7.52413e-06
F01-Sphere,NMMSO,1,28,2.0872e-08
F01-Sphere,NMMSO,1,29,7.33197e-07
F01-Sphere,NMMSO,1,30,3.03869e-09
F01-Sphere,NMMSO,1,31,3.91107e-06
F01-Sphere,NMMSO,1,32,8.52885e-09
F01-Sphere,NMMSO,1,33,8.61233e-09
F01-Sphere,NMMSO,1,34,3.67846e-08
F01-Sphere,NMMSO,1,35,7.26911e-06
F01-Sphere,NMMSO,1,36,2.04004e-08
F01-Sphere,NMMSO,1,37,5.09198e-07
F01-Sphere,NMMSO,1,38,2.09154e-08
F01-Sphere,NMMSO,1,39,6.08044e-06
F01-Sphere,NMMSO,1,40,1.78244e-08
F01-Sphere,NMMSO,1,41,4.04695e-08
F01-Sphere,NMMSO,1,42,1.79974e-08
F01-Sphere,NMMSO,1,43,7.03892e-06
F01-Sphere,NMMSO,1,44,8.7846e-07
F01-Sphere,NCDE,1,15,7.03344e-06
F01-Sphere,NCDE,1,16,7.14786e-09
F01-Sphere,NCDE,1,17,7.52721e-09
F01-Sphere,NCDE,1,18,7.60818e-06
F01-Sphere,NCDE,1,19,7.63406e-06
F01-Sphere,NCDE,1,20,6.38519e-06
F01-Sphere,NCDE,1,21,8.58943e-09
F01-Sphere,NCDE,1,22,1.18817e-08
F01-Sphere,NCDE,1,23,7.3369e-06
F01-Sphere,NCDE,1,24,1.38581e-08
F01-Sphere,NCDE,1,25,5.44657e-06
F01-Sphere,NCDE,1,26,4.86326e-06
F01-Sphere,NCDE,1,27,7.52921e-06
F01-Sphere,NCDE,1,28,7.26687e-09
F01-Sphere,NCDE,1,29,7.22762e-07
F01-Sphere,NCDE,1,30,1.27902e-08
F01-Sphere,NCDE,1,31,3.90539e-06
F01-Sphere,NCDE,1,32,1.47098e-08
F01-Sphere,NCDE,1,33,1.47289e-08
F01-Sphere,NCDE,1,34,2.43588e-08
F01-Sphere,NCDE,1,35,7.27271e-06
F01-Sphere,NCDE,1,36,8.40949e-09
F01-Sphere,NCDE,1,37,4.98506e-07
F01-Sphere,NCDE,1,38,7.35594e-09
F01-Sphere,NCDE,1,39,6.09365e-06
F01-Sphere,NCDE,1,40,1.21037e-08
F01-Sphere,NCDE,1,41,2.92161e-08
F01-Sphere,NCDE,1,42,1.15271e-08
F01-Sphere,NCDE,1,43,7.04147e-06
F01-Sphere,NCDE,1,44,8.68196e-07
F01-Sphere,r3pso,1,15,7.0474e-06
F01-Sphere,r3pso,1,16,8.43929e-09
F01-Sphere,r3pso,1,17,7.52969e-09
F01-Sphere,r3pso,1,18,7.62032e-06
F01-Sphere,r3pso,1,19,7.6421e-06
F01-Sphere,r3pso,1,20,6.39994e-06
F01-Sphere,r3pso,1,21,9.3053e-10
F01-Sphere,r3pso,1,22,0
F01-Sphere,r3pso,1,23,7.35016e-06
F01-Sphere,r3pso,1,24,0
F01-Sphere,r3pso,1,25,5.4457e-06
F01-Sphere,r3pso,1,26,4.8784e-06
F01-Sphere,r3pso,1,27,7.54176e-06
F01-Sphere,r3pso,1,28,8.17335e-09
F01-Sphere,r3pso,1,29,7.34923e-07
F01-Sphere,r3pso,1,30,0
F01-Sphere,r3pso,1,31,3.92024e-06
F01-Sphere,r3pso,1,32,0
F01-Sphere,r3pso,1,33,0
F01-Sphere,r3pso,1,34,3.37254e-08
F01-Sphere,r3pso,1,35,7.28614e-06
F01-Sphere,r3pso,1,36,3.9798e-09
F01-Sphere,r3pso,1,37,5.104e-07
F01-Sphere,r3pso,1,38,7.96343e-09
F01-Sphere,r3pso,1,39,6.09468e-06
F01-Sphere,r3pso,1,40,0
F01-Sphere,r3pso,1,41,4.04481e-08
F01-Sphere,r3pso,1,42,0
F01-Sphere,r3pso,1,43,7.05541e-06
F01-Sphere,r3pso,1,44,8.80526e-07
F01-Sphere,NM-Restart,1,15,7.0402e-06
F01-Sphere,NM-Restart,1,16,0
F01-Sphere,NM-Restart,1,17,0
F01-Sphere,NM-Restart,1,18,7.61601e-06
F01-Sphere,NM-Restart,1,19,7.64264e-06
F01-Sphere,NM-Restart,1,20,6.39096e-06
F01-Sphere,NM-Restart,1,21,0
F01-Sphere,NM-Restart,1,22,1.33161e-08
F01-Sphere,NM-Restart,1,23,7.34418e-06
F01-Sphere,NM-Restart,1,24,7.01306e-09
F01-Sphere,NM-Restart,1,25,5.45384e-06
F01-Sphere,NM-Restart,1,26,4.86697e-06
F01-Sphere,NM-Restart,1,27,7.53686e-06
F01-Sphere,NM-Restart,1,28,0
F01-Sphere,NM-Restart,1,29,7.21584e-07
F01-Sphere,NM-Restart,1,30,1.33438e-08
