function,method,seed,scenario,regret,wiped
F24-LunacekRastrigin,Crowding-DE,0,37,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,38,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,39,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,40,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,41,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,42,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,43,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,44,0.0380668,0
F24-LunacekRastrigin,MAP-Elites,0,15,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,16,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,17,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,18,0.611041,0
F24-LunacekRastrigin,MAP-Elites,0,19,161.868,1
F24-LunacekRastrigin,MAP-Elites,0,20,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,21,168.365,1
F24-LunacekRastrigin,MAP-Elites,0,22,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,23,0.502054,0
F24-LunacekRastrigin,MAP-Elites,0,24,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,25,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,26,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,27,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,28,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,29,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,30,161.817,1
F24-LunacekRastrigin,MAP-Elites,0,31,153.962,1
F24-LunacekRastrigin,MAP-Elites,0,32,163.8,1
F24-LunacekRastrigin,MAP-Elites,0,33,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,34,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,35,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,36,2.07488,0
F24-LunacekRastrigin,MAP-Elites,0,37,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,38,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,39,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,40,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,41,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,42,0.75936,0
F24-LunacekRastrigin,MAP-Elites,0,43,0.518587,0
F24-LunacekRastrigin,MAP-Elites,0,44,0.518587,0
F24-LunacekRastrigin,MC-ESO-crowd,0,15,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,16,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,17,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,18,1.03919,0
F24-LunacekRastrigin,MC-ESO-crowd,0,19,163.952,1
F24-LunacekRastrigin,MC-ESO-crowd,0,20,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,21,169.537,1
F24-LunacekRastrigin,MC-ESO-crowd,0,22,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,23,154.539,1
F24-LunacekRastrigin,MC-ESO-crowd,0,24,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,25,2.12478,0
F24-LunacekRastrigin,MC-ESO-crowd,0,26,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,27,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,28,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,29,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,30,170.132,1
F24-LunacekRastrigin,MC-ESO-crowd,0,31,154.109,1
F24-LunacekRastrigin,MC-ESO-crowd,0,32,156.361,1
F24-LunacekRastrigin,MC-ESO-crowd,0,33,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,34,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,35,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,36,0,0
