function,method,seed,scenario,regret
F03-RastriginSep,NMMSO,2,15,47.1454
F03-RastriginSep,NMMSO,2,16,15.2986
F03-RastriginSep,NMMSO,2,17,1014.25
F03-RastriginSep,NMMSO,2,18,958.652
F03-RastriginSep,NMMSO,2,19,27.6678
F03-RastriginSep,NMMSO,2,20,404.939
F03-RastriginSep,NMMSO,2,21,29.2155
F03-RastriginSep,NMMSO,2,22,42.3462
F03-RastriginSep,NMMSO,2,23,14.83
F03-RastriginSep,NMMSO,2,24,28.4137
F03-RastriginSep,NMMSO,2,25,159.697
F03-RastriginSep,NMMSO,2,26,19.1268
F03-RastriginSep,NMMSO,2,27,28.2917
F03-RastriginSep,NMMSO,2,28,11.1727
F03-RastriginSep,NMMSO,2,29,892.563
F03-RastriginSep,NMMSO,2,30,69.2281
F03-RastriginSep,NMMSO,2,31,203.504
F03-RastriginSep,NMMSO,2,32,842.613
F03-RastriginSep,NMMSO,2,33,16.7852
F03-RastriginSep,NMMSO,2,34,1.82844
F03-RastriginSep,NMMSO,2,35,16.5469
F03-RastriginSep,NMMSO,2,36,7.62402
F03-RastriginSep,NMMSO,2,37,183.046
F03-RastriginSep,NMMSO,2,38,13.4401
F03-RastriginSep,NMMSO,2,39,307.859
F03-RastriginSep,NMMSO,2,40,161.383
F03-RastriginSep,NMMSO,2,41,15.0093
F03-RastriginSep,NMMSO,2,42,365.62
F03-RastriginSep,NMMSO,2,43,478.182
F03-RastriginSep,NMMSO,2,44,951.579
F03-RastriginSep,NMMSO+s,2,15,37.1367
F03-RastriginSep,NMMSO+s,2,16,20.5091
F03-RastriginSep,NMMSO+s,2,17,1325.64
F03-RastriginSep,NMMSO+s,2,18,1229.81
F03-RastriginSep,NMMSO+s,2,19,23.2624
F03-RastriginSep,NMMSO+s,2,20,571.119
F03-RastriginSep,NMMSO+s,2,21,5.6648
F03-RastriginSep,NMMSO+s,2,22,39.783
F03-RastriginSep,NMMSO+s,2,23,2.94687
F03-RastriginSep,NMMSO+s,2,24,24.9881
F03-RastriginSep,NMMSO+s,2,25,221.627
F03-RastriginSep,NMMSO+s,2,26,2.04439
F03-RastriginSep,NMMSO+s,2,27,28.5268
F03-RastriginSep,NMMSO+s,2,28,28.0515
F03-RastriginSep,NMMSO+s,2,29,1151.05
F03-RastriginSep,NMMSO+s,2,30,96.3948
F03-RastriginSep,NMMSO+s,2,31,274.488
F03-RastriginSep,NMMSO+s,2,32,1096.36
