function,method,seed,scenario,regret
F15-RastriginRot,spread@0.1,0,30,17.6222
F15-RastriginRot,spread@0.1,0,31,18.8009
F15-RastriginRot,spread@0.1,0,32,171.581
F15-RastriginRot,spread@0.1,0,33,81.0664
F15-RastriginRot,spread@0.1,0,34,11.3402
F15-RastriginRot,spread@0.1,0,35,136.427
F15-RastriginRot,spread@0.1,0,36,8.89917
F15-RastriginRot,spread@0.1,0,37,34.9077
F15-RastriginRot,spread@0.1,0,38,21.051
F15-RastriginRot,spread@0.1,0,39,435.807
F15-RastriginRot,spread@0.1,0,40,131.056
F15-RastriginRot,spread@0.1,0,41,23.6987
F15-RastriginRot,spread@0.1,0,42,15.1055
F15-RastriginRot,spread@0.1,0,43,18.8167
F15-RastriginRot,spread@0.1,0,44,52.9031
F15-RastriginRot,spread@0.25,0,15,4.38537
F15-RastriginRot,spread@0.25,0,16,40.1229
F15-RastriginRot,spread@0.25,0,17,201.401
F15-RastriginRot,spread@0.25,0,18,7.67952
F15-RastriginRot,spread@0.25,0,19,6.69015
F15-RastriginRot,spread@0.25,0,20,3.94771
F15-RastriginRot,spread@0.25,0,21,12.8614
F15-RastriginRot,spread@0.25,0,22,130.659
F15-RastriginRot,spread@0.25,0,23,9.40448
F15-RastriginRot,spread@0.25,0,24,17.2314
F15-RastriginRot,spread@0.25,0,25,10.5798
F15-RastriginRot,spread@0.25,0,26,23.0401
F15-RastriginRot,spread@0.25,0,27,24.2839
F15-RastriginRot,spread@0.25,0,28,0.597755
F15-RastriginRot,spread@0.25,0,29,85.5021
F15-RastriginRot,spread@0.25,0,30,17.6222
F15-RastriginRot,spread@0.25,0,31,0
F15-RastriginRot,spread@0.25,0,32,391.886
F15-RastriginRot,spread@0.25,0,33,228.108
F15-RastriginRot,spread@0.25,0,34,40.0882
F15-RastriginRot,spread@0.25,0,35,103.228
F15-RastriginRot,spread@0.25,0,36,28.9923
F15-RastriginRot,spread@0.25,0,37,16.3094
F15-RastriginRot,spread@0.25,0,38,21.051
F15-RastriginRot,spread@0.25,0,39,94.8558
F15-RastriginRot,spread@0.25,0,40,2.98327
F15-RastriginRot,spread@0.25,0,41,16.6308
F15-RastriginRot,spread@0.25,0,42,27.1367
F15-RastriginRot,spread@0.25,0,43,18.8167
F15-RastriginRot,spread@0.25,0,44,4.99629
F15-RastriginRot,spread@0.5,0,15,10.222
F15-RastriginRot,spread@0.5,0,16,40.1229
F15-RastriginRot,spread@0.5,0,17,201.401
F15-RastriginRot,spread@0.5,0,18,14.7329
F15-RastriginRot,spread@0.5,0,19,6.69015
F15-RastriginRot,spread@0.5,0,20,13.6238
F15-RastriginRot,spread@0.5,0,21,12.8614
F15-RastriginRot,spread@0.5,0,22,5.81198
F15-RastriginRot,spread@0.5,0,23,5.37762
F15-RastriginRot,spread@0.5,0,24,10.1991
F15-RastriginRot,spread@0.5,0,25,10.5798
F15-RastriginRot,spread@0.5,0,26,0
F15-RastriginRot,spread@0.5,0,27,25.4622
F15-RastriginRot,spread@0.5,0,28,17.946
F15-RastriginRot,spread@0.5,0,29,31.5861
F15-RastriginRot,spread@0.5,0,30,17.6222
F15-RastriginRot,spread@0.5,0,31,4.60255
F15-RastriginRot,spread@0.5,0,32,391.886
F15-RastriginRot,spread@0.5,0,33,228.108
F15-RastriginRot,spread@0.5,0,34,47.3452
F15-RastriginRot,spread@0.5,0,35,99.0381
F15-RastriginRot,spread@0.5,0,36,28.9923
F15-RastriginRot,spread@0.5,0,37,21.6635
F15-RastriginRot,spread@0.5,0,38,21.051
F15-RastriginRot,spread@0.5,0,39,9.77271
F15-RastriginRot,spread@0.5,0,40,0.737923
F15-RastriginRot,spread@0.5,0,41,23.6987
F15-RastriginRot,spread@0.5,0,42,27.6682
F15-RastriginRot,spread@0.5,0,43,18.8167
F15-RastriginRot,spread@0.5,0,44,0
F15-RastriginRot,spread@1,0,15,25.7531
F15-RastriginRot,spread@1,0,16,40.1229
F15-RastriginRot,spread@1,0,17,41.6339
F15-RastriginRot,spread@1,0,18,26.1222
F15-RastriginRot,spread@1,0,19,6.69015
F15-RastriginRot,spread@1,0,20,39.4192
F15-RastriginRot,spread@1,0,21,12.8614
F15-RastriginRot,spread@1,0,22,0
F15-RastriginRot,spread@1,0,23,11.2702
F15-RastriginRot,spread@1,0,24,21.6146
F15-RastriginRot,spread@1,0,25,10.5798
F15-RastriginRot,spread@1,0,26,8.79829
F15-RastriginRot,spread@1,0,27,0
F15-RastriginRot,spread@1,0,28,43.6871
F15-RastriginRot,spread@1,0,29,25.8081
F15-RastriginRot,spread@1,0,30,17.6222
F15-RastriginRot,spread@1,0,31,34.8914
F15-RastriginRot,spread@1,0,32,81.718
F15-RastriginRot,spread@1,0,33,102.616
F15-RastriginRot,spread@1,0,34,5.05302
F15-RastriginRot,spread@1,0,35,0
F15-RastriginRot,spread@1,0,36,28.9923
F15-RastriginRot,spread@1,0,37,23.5689
F15-RastriginRot,spread@1,0,38,21.051
F15-RastriginRot,spread@1,0,39,56.0974
F15-RastriginRot,spread@1,0,40,4.44547
F15-RastriginRot,spread@1,0,41,23.6987
F15-RastriginRot,spread@1,0,42,27.6682
F15-RastriginRot,spread@1,0,43,18.8167
F15-RastriginRot,spread@1,0,44,27.315
F15-RastriginRot,MC-ESO,1,15,28.7942
F15-RastriginRot,MC-ESO,1,16,33.4003
F15-RastriginRot,MC-ESO,1,17,235.668
F15-RastriginRot,MC-ESO,1,18,35.5538
