function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N07-Vincent2D,36,1,22,13500,8.269954110406985e-08,1,1,0.0017848498300934385,460,0
N07-Vincent2D,36,1,23,14015,9.778993459441665e-08,1,1,0.0012464272042808403,495,0
N07-Vincent2D,36,1,24,14500,8.070362800260966e-08,1,1,0.0016956073385887664,465,0
N07-Vincent2D,36,1,25,15060,8.565603071275518e-08,1,1,0.0005034549886464194,540,0
N07-Vincent2D,36,1,26,15640,1.8786869349085578e-07,1,1,0.0002628066506671099,560,1
N07-Vincent2D,36,1,27,16260,1.1518604292604095e-07,1,1,7.161232222403826e-05,600,0
N07-Vincent2D,36,1,28,17000,4.965879305318666e-06,1,1,1.4489118831577078e-06,720,1
N07-Vincent2D,36,1,29,17375,2.4075963001024547e-08,1,1,0.00524090118298724,355,1
N07-Vincent2D,36,1,30,17805,8.427422804047069e-08,1,1,0.0029810250764949484,410,0
N07-Vincent2D,36,1,31,18250,8.989201116804679e-08,1,1,0.0025558563749598557,425,0
N07-Vincent2D,36,1,32,18800,1.103412694547501e-09,1,1,0.0006968235136974662,530,1
N07-Vincent2D,36,1,33,19540,4.83523415373277e-06,1,1,1.4489118831577078e-06,720,0
N07-Vincent2D,36,2,0,2150,0.0,1,1,1e-06,900,1
N07-Vincent2D,36,2,1,2590,2.591134784513116e-08,1,1,0.0026903751315366905,420,0
N07-Vincent2D,36,2,2,3330,2.926083846777061e-06,1,1,1.4489118831577078e-06,720,0
N07-Vincent2D,36,2,3,3875,4.033810718784281e-08,1,1,0.0008197923690558426,525,0
N07-Vincent2D,36,2,4,4480,1.691434603490194e-08,1,1,0.00011660870706132833,585,0
N07-Vincent2D,36,2,5,5035,1.3244970009651524e-08,1,1,0.0005922999866428463,535,0
N07-Vincent2D,36,2,6,5630,7.181231376218733e-08,1,1,0.00016139613434093888,575,0
N07-Vincent2D,36,2,7,6230,1.9643175974692895e-11,1,1,0.00013718671418979804,580,1
N07-Vincent2D,36,2,8,6790,2.2575320057782733e-08,1,1,0.0005034549886464194,540,0
N07-Vincent2D,36,2,9,7130,3.4785515468094275e-08,1,1,0.0075048278422232,320,0
N07-Vincent2D,36,2,10,7635,2.3956876926689574e-08,1,1,0.001381082774826416,485,0
N07-Vincent2D,36,2,11,8170,4.69441105988011e-08,1,1,0.001015222748056771,515,0
N07-Vincent2D,36,2,12,8695,4.7546070858217604e-08,1,1,0.0011249005518634582,505,0
