function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F23-Katsuura,9,-1,2539,1.2372325386422744e-12,1.2372325386422744e-12,2238,2238,True
F23-Katsuura,10,-1,13876,1.2372325386422744e-12,1.2372325386422744e-12,13672,13672,True
F23-Katsuura,11,-1,3403,0.0,0.0,3018,3018,True
F23-Katsuura,12,-1,2493,1.1599610161283636e-12,1.1599610161283636e-12,2178,2178,True
F23-Katsuura,13,-1,2628,0.0,0.0,2283,2283,True
F23-Katsuura,14,-1,2557,9.272582701669307e-13,9.272582701669307e-13,2112,2112,True
F23-Katsuura,15,-1,3033,5.567102334680385e-12,5.567102334680385e-12,2594,2594,True
F23-Katsuura,16,-1,2302,5.646536189729545e-07,5.646536189729545e-07,-1,-1,True
F23-Katsuura,17,-1,2338,0.0,0.0,2108,2108,True
F23-Katsuura,18,-1,3427,0.0,0.0,3137,3137,True
F23-Katsuura,19,-1,2268,0.0,0.0,2039,2039,True
