function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F13-SharpRidge,4,-1,3703,0.0,0.0,1973,1973,True
F13-SharpRidge,5,-1,3493,0.0,0.0,1723,1723,True
F13-SharpRidge,6,-1,3724,0.0,0.0,1594,1594,True
F13-SharpRidge,7,-1,3309,0.0,0.0,1758,1758,True
F13-SharpRidge,8,-1,3339,0.0,0.0,1948,1948,True
F13-SharpRidge,9,-1,3294,0.0,0.0,1644,1644,True
F13-SharpRidge,10,-1,3963,0.0,0.0,1708,1708,True
F13-SharpRidge,11,-1,3279,0.0,0.0,1928,1928,True
F13-SharpRidge,12,-1,3524,0.0,0.0,1819,1819,True
F13-SharpRidge,13,-1,3094,0.0,0.0,1989,1989,True
F13-SharpRidge,14,-1,3248,0.0,0.0,1849,1849,True
F13-SharpRidge,15,-1,3528,0.0,0.0,1838,1838,True
F13-SharpRidge,16,-1,3024,0.0,0.0,1533,1533,True
F13-SharpRidge,17,-1,3189,0.0,0.0,1558,1558,True
F13-SharpRidge,18,-1,3353,0.0,0.0,1968,1968,True
F13-SharpRidge,19,-1,3364,0.0,0.0,2019,2019,True
F14-DiffPowers,0,-1,2198,0.0,0.0,958,958,True
F14-DiffPowers,1,-1,1949,0.0,0.0,1104,1104,True
F14-DiffPowers,2,-1,2258,0.0,0.0,1214,1214,True
F14-DiffPowers,3,-1,1944,0.0,0.0,1073,1073,True
F14-DiffPowers,4,-1,1738,0.0,0.0,993,993,True
F14-DiffPowers,5,-1,2033,0.0,0.0,1129,1129,True
F14-DiffPowers,6,-1,2349,0.0,0.0,999,999,True
F14-DiffPowers,7,-1,1883,0.0,0.0,839,839,True
F14-DiffPowers,8,-1,2044,0.0,0.0,1104,1104,True
F14-DiffPowers,9,-1,2129,0.0,0.0,1186,1186,True
F14-DiffPowers,10,-1,2364,0.0,0.0,1417,1417,True
F14-DiffPowers,11,-1,1739,0.0,0.0,947,947,True
F14-DiffPowers,12,-1,2384,0.0,0.0,1327,1327,True
F14-DiffPowers,13,-1,1983,0.0,0.0,1053,1053,True
F14-DiffPowers,14,-1,1863,0.0,0.0,1143,1143,True
F14-DiffPowers,15,-1,4814,1.6271428648906294e-12,1.6271428648906294e-12,1619,1619,True
F14-DiffPowers,16,-1,2074,0.0,0.0,943,943,True
F14-DiffPowers,17,-1,1829,0.0,0.0,928,928,True
F14-DiffPowers,18,-1,2089,0.0,0.0,968,968,True
F14-DiffPowers,19,-1,2309,0.0,0.0,1189,1189,True
F15-RastriginRot,0,-1,1733,0.0,0.0,1513,1513,True
F15-RastriginRot,1,-1,2282,0.0,0.0,1864,1864,True
F15-RastriginRot,2,-1,1623,0.0,0.0,1346,1346,True
F15-RastriginRot,3,-1,1263,0.0,0.0,897,897,True
F15-RastriginRot,4,-1,1169,0.0,0.0,982,982,True
F15-RastriginRot,5,-1,1763,0.0,0.0,1239,1239,True
F15-RastriginRot,6,-1,1129,0.0,0.0,882,882,True
F15-RastriginRot,7,-1,1288,0.0,0.0,946,946,True
F15-RastriginRot,8,-1,1856,0.0,0.0,1612,1612,True
F15-RastriginRot,9,-1,1747,0.0,0.0,1462,1462,True
F15-RastriginRot,10,-1,1792,0.0,0.0,1623,1623,True
F15-RastriginRot,11,-1,1118,0.0,0.0,888,888,True
F15-RastriginRot,12,-1,1528,0.0,0.0,1274,1274,True
F15-RastriginRot,13,-1,2377,0.0,0.0,2070,2070,True
F15-RastriginRot,14,-1,1343,0.0,0.0,754,754,True
F15-RastriginRot,15,-1,1263,0.0,0.0,802,802,True
F15-RastriginRot,16,-1,1158,0.0,0.0,919,919,True
F15-RastriginRot,17,-1,1578,0.0,0.0,1495,1495,True
F15-RastriginRot,18,-1,2482,0.0,0.0,2167,2167,True
F15-RastriginRot,19,-1,2437,0.0,0.0,2125,2125,True
F16-Weierstrass,0,-1,974,0.0,0.0,748,748,True
F16-Weierstrass,1,-1,1810,0.0,0.0,1752,1752,True
F16-Weierstrass,2,-1,959,0.0,0.0,898,898,True
F16-Weierstrass,3,-1,1164,0.0,0.0,1021,1021,True
