function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,NM-Restart,current,11,400000,81,6,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,12,400000,81,1,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,13,400000,81,6,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,14,400000,81,12,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NMMSO,current,0,400000,81,162,0.9877,0.9877,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,1,400000,81,162,0.9630,0.9630,0.9630,0.9630,0.9630
N08-Shubert3D,NMMSO,current,2,400000,81,162,1.0000,1.0000,1.0000,1.0000,1.0000
N08-Shubert3D,NMMSO,current,3,400000,81,162,1.0000,1.0000,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,4,400000,81,162,0.9877,0.9877,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,5,400000,81,162,0.9877,0.9877,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,6,400000,81,162,1.0000,1.0000,1.0000,1.0000,1.0000
N08-Shubert3D,NMMSO,current,7,400000,81,162,1.0000,1.0000,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,8,400000,81,162,0.9506,0.9506,0.9506,0.9506,0.9506
N08-Shubert3D,NMMSO,current,9,400000,81,162,1.0000,1.0000,1.0000,1.0000,1.0000
N08-Shubert3D,NMMSO,current,10,400000,81,162,0.9753,0.9753,0.9753,0.9753,0.9753
N08-Shubert3D,NMMSO,current,11,400000,81,162,0.9877,0.9877,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,12,400000,81,162,0.9753,0.9753,0.9753,0.9753,0.9753
N08-Shubert3D,NMMSO,current,13,400000,81,162,0.9877,0.9877,0.9877,0.9877,0.9877
N08-Shubert3D,NMMSO,current,14,400000,81,162,0.9877,0.9877,0.9877,0.9877,0.9877
