function,category,tags,method,mean_time_s,mean_best_f,median_best_f,sr_1e-1,sr_1e-2,sr_1e-3,sr_1e-4,sr_1e-5,sr_1e-7,sr_1e-10,evals_succ_mean,evals_succ_med,ert,ecdf_auc,mean_optima_found,mean_optima_rate,n_optima,pr_1e-2,pr_1e-4,mmo_sr_1e-2,mmo_sr_1e-4,cec_k,cec_pr_1e-1,cec_pr_1e-2,cec_pr_1e-3,cec_pr_1e-4,cec_pr_1e-5,cec_sr_1e-1,cec_sr_1e-2,cec_sr_1e-3,cec_sr_1e-4,cec_sr_1e-5,cec_pr_mean,cec_sr_mean,n_reported
F11-Discus,ill-cond,unimodal|non-separable|ill-conditioned,MC-ESO,0.454,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,457,444,457,0.2797,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F11-Discus,ill-cond,unimodal|non-separable|ill-conditioned,phased,0.502,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,457,444,457,0.2797,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F12-BentCigar,ill-cond,unimodal|non-separable|ill-conditioned|bent-valley,MC-ESO,0.478,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,480,492,480,0.2783,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F12-BentCigar,ill-cond,unimodal|non-separable|ill-conditioned|bent-valley,phased,0.456,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,480,492,480,0.2783,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F13-SharpRidge,ill-cond,unimodal|non-separable|ill-conditioned|sharp-ridge,MC-ESO,0.408,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,589,598,589,0.2508,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F13-SharpRidge,ill-cond,unimodal|non-separable|ill-conditioned|sharp-ridge,phased,0.435,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,589,598,589,0.2508,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F14-DiffPowers,ill-cond,unimodal|non-separable|ill-conditioned,MC-ESO,0.497,8.1357e-14,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,314,292,314,0.3392,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F14-DiffPowers,ill-cond,unimodal|non-separable|ill-conditioned,phased,0.520,8.1357e-14,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,314,292,314,0.3392,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F15-RastriginRot,multimodal,multimodal|non-separable|global-structure,MC-ESO,0.512,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,862,822,862,0.2195,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F15-RastriginRot,multimodal,multimodal|non-separable|global-structure,phased,0.457,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,862,822,862,0.2195,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
